Tempo	Controle	Problema Motor
12,14	2,16851797	0,90821005
12,16	1,81016118	0,96680419
12,18	1,460993005	0,97266367
12,2	1,286408975	0,93750712
12,22	1,13939079	0,84082669
12,24	1,206774005	0,796881096
12,26	1,277220245	1,22461867
12,28	0,5941983875	1,37989324
12,3	0,1286408929	1,4238389
12,32	-0,6156385505	1,29786151
12,34	-1,22208844	1,02832818
12,36	-2,361479115	0,826178144
12,38	-0,606449901	0,720708593
