Tempo	C1	C2	C3	C4	C5
5,44	-0,052068935	-3,3478594	-1,1132897	0,3781989	-2,8498087
5,46	-1,393609675	-3,1427796	-1,6672713	0,47141695	-1,8936579
5,48	-1,990870915	-2,7139766	-2,194619	0,5326745	-0,1464855
5,5	-2,65857851	-2,1626585	-2,4822633	0,5539815	-0,04261396
5,52	-1,78259522	-1,7951131	-3,030918	0,58860534	-0,793685
5,54	-1,02606427	-0,83097225	-3,2786117	0,64187276	-0,5619716
5,56	-0,523752205	-0,3116146	-3,7287216	0,7670513	-0,2903076
5,58	-0,949492325	0,3382483	-4,08295	0,90821004	0,3009611
5,6	-2,287970195	0,11985177	-4,2081285	1,0040915	0,52468437
5,62	-2,89442005	-0,05326745	-4,317327	1,1026362	0,80167514
5,64	-2,839288475	-0,122515135	-4,2427526	1,150577	0,7084571
5,66	-2,456428405	-0,087891296	-3,824603	1,3529932	0,41548613
5,68	-2,278781465	0,21573317	-3,188057	1,464855	-0,11985177
5,7	-2,24815271	0,56729835	-2,8178482	1,4834985	-0,17844597
5,72	-2,48399425	0,55930823	-2,0454702	1,566063	-0,1464855
5,74	-2,49624589	0,1944262	-1,6752614	1,629984	-0,23171341
5,76	-2,09807173	-0,087891296	-0,9135368	1,765816	-0,2823175
5,78	-1,647828675	-0,08522792	0,15713897	1,7844596	-0,21573317
5,8	-0,456368875	0	0,8389624	1,7418456	-0,08522792
5,82	-0,058194692	0,039950587	1,6406375	1,5713898	0,2130698
5,84	-0,526815092	0,1651291	1,5474194	1,4302311	0,35422856
5,86	-1,73971494	0,271664	1,3716369	1,0573589	0,34357506
5,88	-1,75502926	0,25834712	1,8270736	0,51669425	0,25834712
5,9	-0,370608281	0,18377271	2,0001929	0,19975294	0,28498086
5,92	0,701399191	0,17045584	1,6805881	-0,52468437	0,700467
5,94	0,66770748	0,122515135	0,7883583	-0,8842397	1,3849537
5,96	0,560506734	0	0,4447832	-1,5580729	1,6805881
5,98	0,69221053	-0,037287217	0,20507969	-2,138688	2,0507967
6	0,634015815	-0,039950587	0,27699074	-2,351758	2,1919556
6,02	0,202149979	-0,007990118	0,4847338	-2,6420655	2,5088968
6,04	0,10107499	0,14382212	0,3968425	-2,7645807	2,6580458
6,06	0,082697719	0,32759482	0,27699074	-3,0335813	2,5914614
6,08	-0,055131811	0,3595553	0,111861646	-3,337206	2,2825103
6,1	-0,174584076	0,3382483	0,037287217	-3,4863546	1,9043114
6,12	-0,275659071	0,3382483	-0,093218036	-3,7367117	1,4994787
6,14	-0,189898465	0,34357506	-0,117188394	-3,8405833	0,13849537
6,16	0,143955298	0,28498086	-0,13050525	-3,9870687	-0,64187276
6,18	0,44718026	0,24503027	-0,18377271	-4,0323462	-2,109391
6,2	0,594198388	0,1651291	-0,1944262	-3,981742	-3,217354
6,22	0,98624682	0,047940705	-0,15980235	-3,6221867	-3,3052454
6,24	1,16389384	-0,02130698	-0,12784189	-3,337206	-2,2319062
6,26	1,500810375	-0,12517852	-0,11985177	-2,7752342	-1,6566178
6,28	2,21446116	-0,13050525	-0,07191106	-2,159995	-1,4968153
6,3	2,554440605	-0,058594197	-0,037287217	-1,6912416	-2,2825103
6,32	2,88829423	0,04261396	0,029297099	-0,4554367	-2,7486005
6,34	2,93423742	0,069247685	0,098544784	0,18110934	-3,3798199
6,36	2,784156555	0,07457443	0,13849537	1,1425868	-3,5263052
6,38	2,284907285	0,07990117	0,22905004	1,0733391	-3,7660089
6,4	1,89898465	0,10387153	0,26900062	0,8735862	-3,939128
6,42	1,11182483	0,14382212	0,32226807	0,772378	-3,9018407
6,44	0,87598321	0,15980235	0,36754543	1,243795	-3,531632
6,46	0,183772703	0,1651291	0,39417914	1,608677	-3,2626314
6,48	-1,620262715	0,15713897	0,45810008	1,8909945	-2,7699075
6,5	-2,713710315	0,14914887	0,4927239	1,8963213	-2,0561235
6,52	-4,392167745	0,15713897	0,585942	1,693905	-1,5101322
6,54	-4,76890165	0,16779247	0,700467	1,3130426	-0,26367387
6,56	-4,15020027	0,19176282	0,75107104	1,1425868	0,35689193
6,58	-2,7627163	0,19975294	0,8709228	0,94816065	1,4462113
6,6	-2,480931455	0,21839654	0,9694676	0,9215269	1,9682323
6,62	-2,765779325	0,2423669	1,1958543	0,9534874	1,8909945
6,64	-3,15170196	0,25834712	1,3743002	0,9961013	1,1239432
6,66	-4,039936545	0,292971	1,4621916	0,98278445	0,61790246
6,68	-4,6188209	0,30362448	1,651291	0,8735862	0,271664
6,7	-4,75052465	0,31427795	1,7365189	0,814992	0,7111205
6,72	-4,698455755	0,3409117	1,8403904	0,75107104	1,0919827
6,74	-3,93273573	0,36221868	1,8776777	0,721774	2,5355306
6,76	-3,38141791	0,38086227	1,901648	0,70313036	3,4703743
6,78	-2,618761025	0,37287214	2,0721037	0,69514024	3,2146907
6,8	-2,232838275	0,38086227	2,1546683	0,6978036	1,4755085
6,82	-0,664644628	0,42347625	2,1999457	0,70313036	0,6019222
6,84	1,041378671	0,4554367	2,2345695	0,72443736	0,22105992
6,86	1,592696755	0,5193576	2,245223	0,7377542	0,67916
6,88	2,0306884	0,5806152	2,3118074	0,7537344	0,73509085
6,9	1,966367865	0,61790246	2,436986	0,75107104	0,4927239
6,92	1,154705225	0,6978036	2,895086	0,75107104	0,34623843
6,94	0,640141589	0,721774	3,3132355	0,78036815	0,38352564
6,96	1,19758539	0,7457443	3,2919285	0,79901177	0,73509085
6,98	2,790282375	0,772378	2,7139766	0,85760593	0,8789129
7	3,2221482	0,793685	2,2345695	0,9002199	0,9801211
7,02	3,0261238	0,8469525	1,1852008	0,99343795	0,94816065
7,04	1,862230075	0,8709228	0,17311922	1,044042	0,7670513
7,06	1,27415745	0,91620016	-0,22638667	1,0387152	0,5539815
7,08	0,793285525	0,9801211	-0,7643879	0,9747943	0,47940707
7,1	0,750405199	1,0253984	-1,1399235	0,950824	0,4447832
7,12	0,471683287	1,1186165	-1,9975294	0,9694676	0,48739716
7,14	-0,045943175	1,1638938	-2,6394022	1,0333885	0,657853
7,16	-0,229715881	1,2704287	-2,9643335	1,0786659	0,8070019
7,18	-0,162332551	1,4089241	-3,5342953	1,2198247	0,8389624
7,2	0,10107499	1,4675183	-3,7287216	1,315706	0,8815763
7,22	0,768782475	1,5474194	-4,0536532	1,5127956	0,9108734
7,24	1,121013445	1,5847067	-4,3652678	1,6406375	0,9428339
7,26	1,154705225	1,6992317	-4,5064263	1,693905	0,89489317
7,28	1,044441546	1,787123	-4,788744	1,8190835	0,8789129
7,3	0,793285525	1,787123	-4,940556	1,8483806	0,95881414
7,32	0,661581775	1,7045584	-5,2148833	1,8776777	1,2597752
7,34	0,496186291	1,4888252	-5,44926	1,9868759	1,4515381
7,36	0,474746163	1,3743002	-5,5158443	2,0561235	1,8643608
7,38	0,532940855	0,9108734	-5,483884	2,223916	2,1120543
7,4	0,679959005	0,4447832	-5,3720226	2,2558765	2,4423127
7,42	0,80247414	-0,47141695	-4,953873	2,1759753	2,3038173
7,44	1,065881709	-0,8789129	-4,418535	1,7578259	2,3277876
7,46	1,157768135	-1,0733391	-4,0696335	1,4888252	2,852472
7,48	1,20371121	-1,5847067	-3,2359977	0,9694676	3,110819
7,5	1,07507037	-1,8510439	-2,788551	0,31427795	3,2573047
7,52	0,98012108	-2,5142236	-1,7631526	-0,026633725	3,2679582
7,54	0,833102964	-3,2626314	-0,3595553	-0,7457443	3,2892652
7,56	0,80553705	-3,5289686	0,41015938	-1,0946461	3,110819
7,58	0,839228715	-3,760682	1,7631526	-1,7285287	2,844482
7,6	0,96480676	-3,8299298	2,301154	-2,3597481	1,7604892
7,62	1,081196075	-4,1015935	2,7565906	-2,6580458	0,1065349
7,64	1,43036425	-4,487783	1,4888252	-3,1720767	-0,41282275
7,66	1,60801119	-4,6715555	0,7830315	-3,3931367	-0,92685366
7,68	1,889796035	-4,911259	0,8469525	-3,7979693	-1,2491218
7,7	2,180769495	-4,932566	1,379627	-4,2054653	-2,0614502
7,72	2,321661975	-4,831358	1,9842125	-4,3919015	-2,887096
7,74	2,438051175	-4,6529117	1,7311921	-4,604971	-3,217354
7,76	2,49624589	-4,5650206	1,6805881	-4,6529117	-3,6434937
7,78	2,99243225	-4,3120003	1,7817962	-4,783417	-3,8352566
7,8	3,67545405	-3,8219397	1,8031032	-4,8846254	-4,2853665
7,82	3,831660965	-3,4943447	1,6006869	-4,876635	-4,74613
7,84	3,82553526	-2,666036	1,1212798	-4,6715555	-4,9725165
7,86	3,81328385	-2,1147177	0,8709228	-4,445169	-5,3933296
7,88	3,767340545	-0,6898135	0,6285559	-3,8059595	-5,569112
7,9	3,28646862	0,70579374	0,63388264	-3,0202644	-5,7608747
7,92	2,84235127	1,1585671	0,68448675	-2,4796	-5,790172
